gene_name,logFC,P.Value
MIR6859-1,0.10065285570301845,0.49949700156343824
RPL23AP21,0.2934006206187443,0.01069810081157459
MTND1P23,0.47271213142520974,0.035609995966932144
MTND2P28,-0.21004681827707247,0.313202763070717
MTCO1P12,0.07267492231229795,0.6657532966739672
MTCO2P12,0.09962115014961148,0.45859754602456626
MTATP6P1,0.2014648334032903,0.2260093664049116
MTCO3P12,0.1492476865874978,0.2289853448867956
LINC01409,0.2622922819791122,0.00742810390919541
LINC01128,0.05485357878998829,0.26163529710172717
LINC02593,-0.27065115745629525,0.19415098579045723
SAMD11,-0.17148078200380945,0.2667381270589702
NOC2L,-0.07484080846193344,0.10324974585766207
KLHL17,0.01875500566949898,0.7587521235119672
HES4,-0.1415456770643966,0.13566482537955377
ISG15,-0.1888148789879693,0.07908854158464766
AGRN,0.041387303315929214,0.6027751002256561
C1orf159,0.07069711855327517,0.3002359670894581
TNFRSF18,-0.09690696122846125,0.5020473907854452
TNFRSF4,-0.29066314216031086,0.08155856990933018
SDF4,0.013396878444145218,0.6763581682788176
B3GALT6,-0.055255772937285126,0.2553897736569804
UBE2J2,0.01257935204525826,0.6946042539241324
SCNN1D,0.0813037339687416,0.2692958555880957
ACAP3,0.051453723774542784,0.35796228043538303
PUSL1,-0.05582116851675121,0.27030959539150295
INTS11,0.05198408118523938,0.2313501525636823
CPTP,0.007733009617696289,0.8869737164527852
DVL1,0.007417848189705977,0.8685839826931074
MXRA8,0.04512070667116281,0.6664957350636667
AURKAIP1,-0.07502541806106834,0.12482554284643603
CCNL2,0.04383900980170328,0.36566243535867093
MRPL20-AS1,-0.01726839135514183,0.7278313600551187
MRPL20,-0.08913442617634505,0.07651145376222324
ANKRD65,-0.06111552897834704,0.5617597690225089
TMEM88B,-0.35811993804054404,0.12348673218118263
VWA1,-0.23798817344640769,0.10749757114466507
ATAD3C,-0.057544495639123686,0.7196832273897317
ATAD3B,-0.13306584240958783,0.0331134846458619
ATAD3A,-0.02559589646302701,0.6201130665125774
TMEM240,-0.07385831462814416,0.21422044006159938
SSU72,-0.028335712355546966,0.411507477518935
FNDC10,0.03415797620516827,0.6608551152558189
MIB2,0.04683745462116848,0.2956570059832068
CDK11B,0.04329469961371918,0.3511117730236786
SLC35E2B,-0.0436639484181618,0.5539307066662573
CDK11A,0.19210461065665907,0.05479210341077252
NADK,-0.021703525447672116,0.5597480644076871
GNB1,-0.04150159250703365,0.28406078829163983
GNB1-DT,-0.05404422997077877,0.6093160145512891
CALML6,0.07645530553258138,0.5941517922770488
TMEM52,-0.16257620981100157,0.3604903744039343
CFAP74,0.19206544828006536,0.018911646362328855
GABRD,-0.04829034705161846,0.5320540956343154
PRKCZ,-0.05991048839670056,0.18811672208578836
FAAP20,0.02692461280352664,0.6162700612322138
SKI,0.14970780003315004,0.07850734484094497
MORN1,0.1026056294804493,0.08581504488668905
RER1,-0.014000650530328165,0.5354100727406248
PEX10,-0.014618578719148553,0.7236266234322595
PLCH2,0.052475891676518886,0.5300034573623755
PANK4,0.012807656749935331,0.7205276932211797
HES5,0.22377179551940304,0.13590115408114753
TNFRSF14,0.06639522803286041,0.4341823714694062
PRXL2B,0.08353433481974888,0.13663352769877202
TTC34,0.32437074626354356,0.018355272212082097
PRDM16-DT,0.16833539758710245,0.10814894903765834
LOC124903827,0.16833539758710245,0.10814894903765834
PRDM16,0.11064562933184081,0.20757379191438666
ARHGEF16,0.04683354304362308,0.7014525615956082
MEGF6,0.0016423149072275684,0.9860347425919818
TPRG1L,-0.006502432494360624,0.899085056986161
WRAP73,-0.025428241690998336,0.5217942184476199
SMIM1,-0.29052120629974293,0.06300487034536861
LRRC47,-0.06802288723490736,0.06950337442894576
CEP104,0.005376247824776499,0.9096847655842962
DFFB,0.20955051544600978,3.0895904054939217e-4
C1orf174,-0.04512127578802524,0.2520270646569498
AJAP1,0.08260654005939369,0.09938478781769745
NPHP4,0.2080174043944578,0.004136104180103443
KCNAB2,0.08252253540026065,0.1957480608178889
CHD5,0.12046373920835257,0.05894120114652553
RPL22,-0.08593125399577652,0.05715821165207206
RNF207-AS1,0.30562011605133776,0.039569478060786915
RNF207,0.1734439263527646,0.04344056656123957
ICMT,-0.07739792475171925,0.08906366300479751
GPR153,0.0627178400141963,0.49900509372626733
ACOT7,-0.019095222623405367,0.7115515605277508
TNFRSF25,0.27076792527509386,0.004882226301372792
PLEKHG5,0.18614013872777335,0.006416346111150802
NOL9,-4.125564507286396e-4,0.9869246762244834
ZBTB48,0.024854336524013955,0.5883242337785017
KLHL21,0.10583785729970467,0.07771443009125174
PHF13,0.007549636023341311,0.8513794892868589
THAP3,-0.0282661988096766,0.5655817297330327
DNAJC11,-0.0038039341778929488,0.8951187236918003
CAMTA1,-0.017918858309928634,0.6929277240171876
VAMP3,-0.07695117498124698,0.4430264220524047
PER3,0.004140644285219756,0.9551507186323756
PARK7,-0.07830333519626186,0.14847464278196437
ERRFI1,-0.01663611398936807,0.7611383658876304
SLC45A1,-0.05839673834981622,0.31516322107733874
RERE,0.13252831725393557,0.015193219570944097
RPL7P7,0.05027381648123732,0.7041078450317353
ENO1,-0.04389372540586116,0.2913830772246243
SLC2A5,-0.3463754230895295,0.023522995133321636
GPR157,0.008518531207413148,0.9462755838674498
MIR34AHG,0.1356982794448388,0.21740936354824636
H6PD,-0.015362463488745835,0.857667031569112
SPSB1,-0.07787588212106793,0.4653267877609275
LINC02606,-0.182711539045254,0.13984460899209292
SLC25A33,-0.012701217841620082,0.8414317051592656
RPL9P11,0.10440863420638591,0.5441061828692723
TMEM201,0.059402548864433816,0.3566076034823129
PIK3CD,0.025810376101995058,0.6240505677948384
CLSTN1,0.01012541121552846,0.8425613437705258
CTNNBIP1,-0.04465852297511572,0.309518406809986
LZIC,-0.10550387480855618,0.01547267533312952
NMNAT1,-0.017954007605094555,0.7012412694663561
RBP7,-0.33315961267284755,0.12444976968331671
UBE4B,0.03349745054392633,0.3792022893462125
KIF1B,0.016717357124458158,0.6134342336208279
RNU6-37P,0.18970731143429642,0.1817272598400319
PGD,-0.0424433176974052,0.2715472007956014
CENPS,-0.1433981700830138,0.33092958338989964
CORT,-0.3677734931403198,8.872254689257021e-4
DFFA,-0.04569075908202433,0.3181599194275066
PEX14,0.00990573608373064,0.8246161653477803
CASZ1,0.054997137344954976,0.6420153526475059
TARDBP,0.023611763427106386,0.5210114862552827
SRM,-0.012378269651583446,0.7990010827950876
EXOSC10,0.0734521553144075,0.11172194825717376
MTOR,-0.010259672605956853,0.707743919091989
UBIAD1,-0.041826035551480574,0.3917523057550456
DISP3,0.11758636893590306,0.21730259010509745
FBXO2,0.011575112177272487,0.8167739103066736
FBXO44,-0.009624475536497971,0.8490730545344831
FBXO6,-0.06683860784875481,0.30384073206877565
MAD2L2,-0.09781370490511486,0.09833819749661815
DRAXIN,0.11903752305855166,0.45788132973917994
AGTRAP,-0.14084850530054285,0.25048050437167446
MTHFR,0.04830549351303894,0.2219316832911429
CLCN6,0.052434781962880754,0.20185970146846952
NPPA,-0.38181534711037196,0.05587633980058971
KIAA2013,-0.1030710763607151,0.02143092142004599
PLOD1,0.15517007759184714,0.06993282983594097
MFN2,-0.03859509696398411,0.24788263208913774
MIIP,-0.0427226208494826,0.4216024401258267
TNFRSF1B,-0.24019589477714853,0.07873532884683329
VPS13D,0.047823227187194096,0.11992975745143958
DHRS3,0.020272399373835924,0.7713245770626532
LRRC38,-0.25232020784156445,0.024726043965305866
PDPN,-0.1304723256506245,0.19498255963359973
PRDM2,0.11498212549881462,0.0492431835781619
KAZN,0.08875325397100206,0.10388117883239865
TMEM51-AS1,0.2859153630677263,0.0041126435099306516
TMEM51,0.12434646563902065,0.22530230094556722
FHAD1,0.2605545435879498,0.03456635883517086
EFHD2-AS1,0.014462913427822934,0.9190569406050603
EFHD2,-0.015987546503238602,0.7867903333130598
CASP9,0.08634095380006167,0.17278490508192734
DNAJC16,-0.04092054378124179,0.22884254198151074
AGMAT,-0.08310676758749408,0.3637153708239991
DDI2,0.030428649696789458,0.3234058918442563
PLEKHM2,0.05696313701240005,0.24936024444724872
SLC25A34,0.2858177292186248,0.0023538519692699947
FBLIM1,0.016014814185926016,0.8904501293589873
UQCRHL,-0.034563742371947086,0.6424329109287668
SPEN-AS1,0.024011955136406058,0.6835398005045583
SPEN,0.1674725109943486,0.026859450596278086
ZBTB17,-0.06656571222676383,0.0888297156437508
SRARP,0.10049779500327474,0.44917081491253397
HSPB7,-0.0881008108848565,0.5692127429058715
FAM131C,-0.012942090695299044,0.8805596305629453
EPHA2,0.24266319434766026,0.14403392227962822
ARHGEF19,-0.09108044969089199,0.5241486763018447
CPLANE2,0.07207365985824439,0.2959215285320672
FBXO42,0.047025656011080025,0.0808259243568822
SZRD1,-0.021057969922704027,0.7203404920597858
NECAP2,-0.03793907495415494,0.6050594764144885
LINC01772,0.07108882539903309,0.7137049196982458
CROCCP3,0.14560170770402833,0.050786989285756375
LOC124904613,0.16339412081447907,0.24142746528037393
LOC124905321,0.16339412081447907,0.24142746528037393
LOC124905573,0.16339412081447907,0.24142746528037393
LOC124905809,0.16339412081447907,0.24142746528037393
